news,sentiment
Jul 2 2016- Bangladesh's government says 20 hostages were killed by suspected Islamists in a siege in cafe in the capital Dhaka.Gunmen stormed the Holey Artisan Bakery cafe late on Friday before troops entered almost 12 hours later.Six of the attackers were killed and one was arrested a government spokesman said. The attack was claimed by the so-called Islamic State (IS). Some of those who were held were from Japan and Sri Lanka.,0
Jul 2 2016- Wales produced a stunning upset to reach the Euro 2016 semi-finals after Hal Robson-Kanu's superbly fashioned goal and Sam Vokes's late header secured a 3-1 comeback win over Belgium on Friday to set up a clash with Portugal.Robson-Kanu left three Belgium players for dead with a 'Cruyff' turn and calmly stroked the ball home to put Wales ahead in the second half while substitute Vokes's header ensured they reached their first major tournament semi-final.,0
This week she received her ninth artificial leg thanks to the Friends of the Asian Elephant Foundation hospital in northern Thailand.Mosha is one of more than a dozen elephants who have been wounded by land mines in the border region where rebels have been fighting the Myanmar government for decades. She was the first elephant to be fitted with a prosthetic limb at the hospital near Lampang.Mosha weighed about 1300 pounds when she was wounded. ,1
The arrested is principal of Thurpu-based Shining Star Lower Secondary School Ishwori Prasad Sapkota.Sapkota had thrashed Rachit Bista 8 of Taplegunj district a student of class 2 at tuition class on Tuesday for poor handwriting. Bista is a hostel student.The boy has blue marks at different parts of the body. Dil Maya Bista mother of the boy is now at Phidim for legal action against the Principal as well as treatment of the child.Police have arrested the Principal after Dil Maya filed petition against Sapkota at District Police Office Panchthar. RSS 13:09,0
 After the Electricity Tariff Fixation Commission (ETFC) hiked the rate by an average of 19 percent effective from mid-September a group of consumer rights activists have filed petitions at two Parliamentary committees demanding a reversal of the decision.The Forum for Protection of Consumer Rights on Friday filed separate petitions at the Agriculture and Water Resource Committee and Industry Commerce and Consumer Welfare Committee seeking their intervention against the tariff hike. ,0
Jul 2 2016- Nepal has been placed in the second tier of the US Department of State annual Trafficking in Persons (TIP) report signifying Nepal satisfactory efforts to combat modern-day slavery.Nepal has been maintaining this status for the past seven years despite sporadic incidents of human trafficking and degrading treatment of workers particularly women and children.The TIP report which assesses the legal framework and law enforcement of the countries from around the world on their efforts to combat human trafficking has come as a relief for the government of Nepal given the national reports on human trafficking.,1
Jul 1 2016- Parliamentarians have drawn the government's attention to the need of providing relief in a prompt manner as various places of the country have been affected by flood and landslide.Published: 01-07-2016 17:21,1
Jul 2 2016- A mob has burned down a mosque in northern Myanmar in the second attack of its kind in just over a week.Police are reported to be guarding the village of Hpakant in Kachin state after failing to stop Buddhist villagers setting the mosque ablaze.Last week a group of men destroyed a mosque in central Myanmar in a dispute over its construction.The UN has warned the government led by Nobel Peace Prize Aung San Suu Kyi to crack down on religious violence.The latest attack took place on Friday when a group of villagers stormed the mosque and set it on fire.Reports said they attacked police officers guarding it and stopped the fire brigade from reaching the site.,0
Besides a few established political figures the list includes former bureaucrats civil society members and celebrities. The youngest force also set up a central coordination panel with a 13-member office bearers team. The panel would remain until the party first general convention expected to take place next year. Naya Shakti coordinator Baburam Bhattarai on Thursday told reporters that the committee would be replaced by elected representatives after the convention. We have decided to elect representatives right from the village level to the top.  of these representatives will be allowed to hold a position for more than two terms  said Bhattarai,1
Jul 2 2016- The International Cricket Council (ICC) said it will send its delegation to Nepal  in a due course  to find a way out for the current deadlock in country  cricket governing body.Nepali cricket has been running without a board after ICC suspended the Cricket Association of Nepal (CAN) on April 25. The world cricket governing body had suspended the CAN citing a dual existence of CAN caused primarily by a disputed election before an ad-hoc committee was formed in response by the National Sports Council.,0
They were the group's deputy minister of war who oversaw Mosul's capture in 2014 and a senior military commander spokesman Peter Cook said.US-led air strikes have helped Iraqi forces and its allies to push IS back.An offensive to retake Mosul is seen as the next battle for Iraqi forces.Basim Muhammad Ahmad Sultan al-Bajari was a former al-Qaeda member who also led an IS battalion known for using homemade explosives suicide bombers and mustard gas in its attacks Mr Cook said in a statement.Hatim Talib al-Hamduni was a military commander in Mosul and the head of military police in the region he added.,0
 
The volunteers went from door to door distributing pamphlets and calling on the people to not throw or allow anyone to throw garbage in the Bagmati river and participate in the clean-up said Narayan Shrestha a member with the High Power Committee for Integrated Development of Bagmati Civilization. Banners reading a Person throwing garbage in Bagmati will be jailed for three months and with Rs 100000 fine so let's not throw garbage' were set up at a number of locations. The Kathmandu Metropolitan City (KMC) employees have been authorized to arrest anyone found to be disposing of waste materials at the river.  On the coming Saturday the campaigners will head to Shova Bhagwati temple vicinity for cleaning up the section of Bishnumati river to mark the occasion of the 100th week of Bishnumati river clean-up campaign Shrestha said.  16:15,1
With the controversy escalating throughout the week fans have remained divided between the two camps. Now with YouTube removing both the films from their platform the issue remains far from settled and is looking likely to get drawn out into the coming weeks.  Published: 01-07-2016 10:30,1
Pakistan will be hosting the 19th summit on November 9-10 in Islamabad.According to officials Pakistan has proposed  Peace and Harmony for Development  as the summit  theme.The theme of the 18th Saarc Summit which was held in 2014 in Kathmandu was  Deeper Integration for Peace and Prosperity. The theme is relevant as Saarc needs peace and harmony for its robust growth said a Foreign Ministry official in Kathmandu.Islamabad has begun preparations for the summit. Two important meetings ahead of the summit  meetings of Saarc home and finance ministers  are expected to set the tone for the event. The home minister  meeting is proposed for August 2-4 in Pakistan to be followed by the Saarc finance minister  meeting. Published: 01-07-2016 10:09,1
Minister Pokharel instructed Bishwa Prakash Pandit Secretary of the Ministry of Education for the investigation after inspecting the incident site and taking stock of the injured children at B&B Hospital and Patan Hospital this evening.  Two students died on the spot while 26 sustained injuries when a wall nearby the school was breached.  The health condition of the injured ones is reported to be critical.  Minister Pokharel extended condolences to the deceased students and wished for the speedy recovery of the injured ones according to Jagrit Rayamajhi Personal Secretary to the Minister.  The wall fencing the plot nearby the School is assumed to have fallen owing to heavy rainfall for some days. RSS  Published: 01-07-2016 20:02,1
Jul 2 2016- Community forest users in Neelkantha Municipality of Dhading have launched an initiative to conserve endangered pangolins.Many villagers did not know that pangolin population was dying out until recently said Bhakta Bahadur Shrestha district chairman of Federation of Community Forestry Users Nepal.  More people are aware of that fact these days. And they have made a point of saving the pangolin population  he added.According to a recent study conducted by the World Wildlife Fund there are around 50 pangolin habitats in Dhading. Pangolins were spotted in many community forests including Aapgauri Kaseri Thulokhoriya Khurpakhola Rijalthok Chichandanda Basaha Jalbire and Mahakali. ,1
Jul 1 2016- Portugal reached the semi-finals of the European Championship for the fourth time in five tournaments with a penalty shootout victory over Poland.Ricardo Quaresma scored the winning spot-kick after Jakub Blaszczykowski's effort was saved by Rui Patricio.Robert Lewandowski had fired Poland ahead in the second minute with teenager Renato Sanches equalising via a deflected strike.Portugal's semi-final opponent will be either Wales or Belgium.Remarkably Portugal have reached the last four without winning a game in normal time following three draws in a group in which they finished third and an extra-time win over Croatia in the last 16.,1

 For the past decade there have been efforts from the government and the private sector to develop the Karnali region as a tourist destination but progress hasn been as expected  the society said in a statement.of slow growth of tourism in the region. The newly formed Society aims at providing a platform to address these issues according to the statement.Published: 01-07-2016 09:42,1
Jul 3 2016-  The wave of neo-nationalism in the context of globalisation should not be viewed as anti-globalisation but as a step towards managed globalisation. The present reality requires a paradigm shift in managing global issues such as climate change terrorism cross border security immigrants cyber attacks pandemics and global financial meltdown among others. There is certainly a greater need for international cooperation in this interconnected and interdependent world but cooperation in the form of a  superpower block  is not the solution.,1
Jul 2 2016- Among the many organs of the state the bureaucracy might just be the most reviled. A visit to a government office is a chore especially in a country like Nepal where bureaucrats act like mandarins amid an ageing infrastructure that still relies on massive stacks of perishable paper for its records. And for a country that places so much premium on having the right papers especially the citizenship certificate it is maddeningly inconvenient to get any official documentation.The rules to be followed are intolerantly strict any slight inconsistency can be grounds for refusal. And as is usually the case there is very little information available as to what specifics must be adhered to and in what specific order. ,1
This week she received her ninth artificial leg thanks to the Friends of the Asian Elephant Foundation hospital in northern Thailand.Mosha is one of more than a dozen elephants who have been wounded by land mines in the border region where rebels have been fighting the Myanmar government for decades. She was the first elephant to be fitted with a prosthetic limb at the hospital near Lampang.,1
Jul 2 2016- A three-day inter-governmental committee (IGC) meeting between Nepal and India concluded on Thursday without any substantial outcomes under a cloud of strained bilateral relations.Nepal presented a long list of problems it was facing in its trade with India and the southern neighbour promised to look into them according to Nepali officials.During the meeting led by the commerce secretaries of the two countries Nepal specifically focused on getting non-tariff barriers removed but it failed to convince the Indian side officials said.,1
Jul 2 2016- What is the CIAA?   If you are an Amrikan then you might think it is some kind of a rehab programme for former CIA agents or an alumni association for the spooks. Our government tells us that it is the Commission for the Investigation of Abuse of Authority. But so far our great warriors have only gone after low-level government employees. It even carries out sting operation against the small fishes while we have yet to hear about any sting operations against our netas and high-ranking civil servants. ,1
Jul 2 2016- Cricket Association of Nepal (CAN) Chief Executive Officer (CEO) Bhawana Ghimire on Friday said she has tendered her resignation to the suspended ad-hoc committee of the cricket governing body.Ghimire informed about her resignation through her official twitter account on the day when the International Cricket Council (ICC) said it was soon sending a delegation to Nepal to address the ongoing deadlock in country  cricket governing body.,0
Jul 2 2016- It is difficult to write about gods and religion. No not just because religion has become such asensitive topic to deal with in recent times. It also has to do with the fact that any attempt to comprehend or ruminate over the imaginary otherworldly sublime in a less-than-perfect world of ours is bound to encounter many hurdles. More so in an age when we have become sopreoccupied with worldly affairs all things religious are increasingly being left on the backburner.But despite all its anachronistic beliefs rigid values and obsolete rituals there is something in religion that still draws people to it.,1
Long walk to researchNepal was a late entrant into the modern world of science and technology because formal education in science was introduced only in 1919. Between then and now against the backdrop of several social and political upheavals Nepal experienced a modest growth in the number of institutions to improve education in science and technology and to promote research and development. ,1
Jul 2 2016- At least two Chinese companies have shown interest to develop rail networks connecting China with Nepal and one of them has submitted a feasibility report for a rail link between Kathmandu and Pokhara.The China CAMC Engineering Company Ltd which has submitted a feasibility report on Kathmandu-Pokhara electric railway plans to develop 164.395-kilometre railway which will have 27 tunnels and 53 bridges. This segment will have 12 stations between Kathmandu and Pokhara according to the report.The Kathmandu-Pokhara route which according to the report starts from Tokha (Kathmandu station) will travel along the Prithvi Highway and pass through Malekhu Mugling Dumre and Damauli before reaching Pokhara. ,1
Shaymanonda Das was preparing for morning prayers at a temple in the district of Jhenaidah when he was attacked.Police said he was hacked on the neck several times with machetes.More than 40 people have been killed in attacks blamed on Islamist militants in Bangladesh since February 2013.That includes secular bloggers academics gay rights activists and members of religious minorities.,0
For that purpose Dahal said he could also accept incumbent Prime Minister KP Sharma Oli as the leader of a unity government if the major parties agreed to it.Speaking at an interaction in Nepalgunj on Thursday Dahal said that he sensed growing threats of constitution not being implemented.  Chances are that the country will have a misfortune if the constitution is not implemented by January  he said. ,0
Besides a few established political figures the list includes former bureaucrats civil society members and celebrities. The youngest force also set up a central coordination panel with a 13-member office bearer  team. The panel would remain until the party  first general convention expected to take place next year. Naya Shakti coordinator Baburam Bhattarai on Thursday told reporters that the committee would be replaced by elected representatives after the convention. ,1
They will now face the winners of the other quarter-final between hosts France and Iceland who play on Sunday.Germany midfielder Mesut Ozil who had experienced a quiet tournament so far was in the right place to open the scroring in the 65th minute when he turned in Jonas Hector  cutback after good work from Mario Gomez down the left.,1

Jul 2 2016- India has said it remains open to the idea of high-level visit exchanges between Nepal and India.Amid reports that Indian President Pranab Mukherjee is visiting Nepal soon Vikas Swarup official spokesperson for India  Ministry of External Affairs said during a weekly briefing by the ministry in the Indian capital on Friday that  in case proposal is received for President Mukherjee  visit to Nepal it will be certainly given a due consideration .A few days ago Indian Ambassador to Nepal Ranjit Rae publicly said that President Mukherjee  is visiting Nepal soon . Spokesperson Swarup however did not provide the details about Mukherjee  visit.,1
Jul 2 2016- Community forest users in Neelkantha Municipality of Dhading have launched an initiative to conserve endangered pangolins.Many villagers did not know that pangolin population was dying out until recently said Bhakta Bahadur Shrestha district chairman of Federation of Community Forestry Users Nepal.  More people are aware of that fact these days. And they have made a point of saving the pangolin population  he added.,1
The prime minister and opposition leader delivered their final pitches to voters on Friday after a marathon eight-week campaign.The UK's decision to leave the EU appears to have benefitted Prime Minister Malcolm Turnbull.But Labor Party leader Bill Shorten said he still intended to win.Mr Shorten is already answering questions about his leadership in the event of a loss with frontbencher Anthony Albanese reportedly keen to challenge.Nearly 15.5 million people are casting their ballots across Australia where voting is compulsory.,1
The volunteers went from door to door distributing pamphlets and calling on the people to not throw or allow anyone to throw garbage in the Bagmati river and participate in the clean-up said Narayan Shrestha a member with the High Power Committee for Integrated Development of Bagmati Civilization.  Banners reading a 'Person throwing garbage in Bagmati will be jailed for three months and with Rs 100000 fine so let's not throw garbage' were set up at a number of locations. ,1
Jul 2 2016- Title contenders Germany will come face to face with their ultimate tournament nightmare when they take on Italy in their Euro 2016 quarter-final in Bordeaux on Saturday.The world champions have lost every single tournament knockout game to the Italians going back almost half a century but are confident they can end a streak that includes one World Cup final and two semi-finals and the Euro 2012 last four.,1
Hallel Yaffa Ariel 13 who had US citizenship was attacked as she slept inside her bedroom in Kiryat Arba.A security guard who responded to the incident was wounded before the attacker was shot dead by other guards.Later on Thursday a Palestinian stabbed and injured two Israelis in the coastal city of Netanya before being shot dead by a passing civilian.The Palestinian health ministry identified the Kiryat Arba assailant as Mohammed Tarayreh 19 from the nearby village of Bani Naim.Thirty-four Israelis have now been killed in a wave of knife gun and car-ramming attacks since October. More than 200 Palestinians - mostly attackers ,0
Jul 2 2016- Several Nepali Congress leaders are said to be irked by former deputy prime minister Sujata Koirala  treatment while inviting them to a function organised by the GP Foundation to mark the birth anniversary of the late Girija Prasad Koirala on Thursday with many of them eventually boycotting the event.Among others NC President Sher Bahadur Deuba and General Secretary Shashank Koirala were notably absent from the programme in the Capital for  not getting their due respect. ,0
Jul 1 2016- Parliamentarians have drawn the government's attention to the need of providing relief in a prompt manner as various places of the country have been affected by flood and landslide.Published: 01-07-2016 17:21,1
 The play is based on my childhood memory of a friendship that had left an lasting mark on me; of a friendship that endured. Or   rather a friendship that lies lurking beneath the enmity  said Lamichhane about the themes the play evokes.Starting July 1 the play will be on at Mandala every day (except for Mondays) till July 17.  Published: 01-07-2016 10:32,1
Jul 2 2016- I am twenty-six one month shy of my twenty-seventh birthday. I am neither old nor young. I am in that stage when the stiffness in one  loins is relaxing weaving the crochet of veins for the impending motherhood. Some days I feel a heaviness in my breasts and a gentle stifling in my womb. The mother in me sometimes stirs softly like a water spider on the sheet of a lake. She is so tiny so rudimentary but even then asserting herself with the primordial force of the demiurge.This morning I saw a girl whose father used to be quite fond of me. He is dead now. ,0
Khaptad is a three days trip from Kathmandu. The ride from Kathmandu through Dhangadhi Dadeldhura Baitadi and Lamataula in Bajhang takes two days.The rest of the forestry journey through Darugau and Lokhada would take around eight hours of walk to finally reach Khaptad.It is a rare landscape that you encounter in Khaptad the meeting point of Bajhang Bajura Doti and Accham. Smooth plateaus round up the horizons and serene lakes rest below; curves and lines intersecting to make these dune-like hillocks capped by pine forests above and grazed by abandoned cattle below. In winter the plateaus are covered in blankets of snow but the trees rise high almost untouched. These sights are powerful enough to make you want to leave the Valley permanently for the far far west.Khaptad might not be a name often heard but is accessible nevertheless to those who would take pleasure in exploring the unknown.   15:10,1
They were the group's deputy minister of war who oversaw Mosul's capture in 2014 and a senior military commander spokesman Peter Cook said.US-led air strikes have helped Iraqi forces and its allies to push IS back.An offensive to retake Mosul is seen as the next battle for Iraqi forces.Basim Muhammad Ahmad Sultan al-Bajari was a former al-Qaeda member who also led an IS battalion known for using homemade explosives suicide bombers and mustard gas in its attacks Mr Cook said in a statement.,0
It will focus on innovative areas of social entrepreneurship social-venture capital international entrepreneurship entrepreneurial culture small and micro enterprise (SME) development and sustainable development among other subjects.The event has brought together a panel of professors and academicians from various parts of the world to impart their theories justifying the needs and challenges of social entrepreneurship.  Published: 01-07-2016 09:43,1

